waypoint1	waypoint2	distance_m	duration_s
Illinois State Capitol, Springfield, IL 62756	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	697787	24298
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Maine State House, Augusta, ME 04330	2243668	75069
Massachusetts State House, Boston, MA 02108	500 E Capitol Ave, Pierre, SD 57501	2862687	93644
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	West Virginia State Capitol, Charleston, WV 25317	265169	9706
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	North Dakota State Capitol, Bismarck, ND 58501	2376757	81471
402 S Monroe St, Tallahassee, FL 32301	West Virginia State Capitol, Charleston, WV 25317	1133547	41453
Indiana State Capitol, Indianapolis, IN 46204	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	283280	9654
Missouri State Capitol, Jefferson City, MO 65101	West Virginia State Capitol, Charleston, WV 25317	1027300	33592
Rhode Island State House, 82 Smith Street, Providence, RI 02903	2 E Main St, Madison, WI 53703	1807993	60795
Missouri State Capitol, Jefferson City, MO 65101	North Dakota State Capitol, Bismarck, ND 58501	1521256	48080
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	2 E Main St, Madison, WI 53703	1530439	51071
Illinois State Capitol, Springfield, IL 62756	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	607831	20616
Nevada State Capitol, Carson City, NV 89701	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	4417580	142049
300 SW 10th Ave, Topeka, KS 66612	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	997131	32811
200 E Colfax Ave, Denver, CO 80203	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	2564693	82632
Louisiana State Capitol, Baton Rouge, LA 70802	2 E Main St, Madison, WI 53703	1648573	52732
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	402 S Monroe St, Tallahassee, FL 32301	339010	13432
L St & 10th St, Sacramento, CA 95814	2 E Main St, Madison, WI 53703	3236161	104038
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Maryland State House, 100 State Cir, Annapolis, MD 21401	934431	30923
700 W Jefferson St, Boise, ID 83720	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	765315	26622
Louisiana State Capitol, Baton Rouge, LA 70802	Nevada State Capitol, Carson City, NV 89701	3319161	109578
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Rhode Island State House, 82 Smith Street, Providence, RI 02903	562081	19916
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	400-498 N West St, Jackson, MS 39201	1736549	57843
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Massachusetts State House, Boston, MA 02108	4261483	139333
Massachusetts State House, Boston, MA 02108	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1246212	41372
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Rhode Island State House, 82 Smith Street, Providence, RI 02903	4180240	138077
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Vermont State House, 115 State Street, Montpelier, VT 05633	2344034	79749
402 S Monroe St, Tallahassee, FL 32301	500 E Capitol Ave, Pierre, SD 57501	2618842	86065
Louisiana State Capitol, Baton Rouge, LA 70802	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4082468	136029
Louisiana State Capitol, Baton Rouge, LA 70802	Maryland State House, 100 State Cir, Annapolis, MD 21401	1901317	62036
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	North Dakota State Capitol, Bismarck, ND 58501	987502	33408
Minnesota State Capitol, St Paul, MN 55155	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	2871909	92877
Indiana State Capitol, Indianapolis, IN 46204	Missouri State Capitol, Jefferson City, MO 65101	589960	19923
